"NOME","SEQUENZA","COLONNA","RIF_COLONNA"
"PROG_PK","1","PROGETTO","NULL"
"ENTI_PK","1","ENTE","NULL"
"ISTA_PK","1","PROGETTO","NULL"
"ISTA_PK","2","ISTANZA","NULL"
"ISTA_PROG_FK","1","PROGETTO","PROGETTO"
"ISTA_ENTI_FK","1","ENTE","ENTE"
"RUOL_PK","1","RUOLO","NULL"
"DIRI_PK","1","UTENTE","NULL"
"DIRI_PK","2","ISTANZA","NULL"
"DIRI_PK","3","MODULO","NULL"
"DIRI_UTEN_FK","1","UTENTE","UTENTE"
"DIRI_RUOL_FK","1","RUOLO","RUOLO"
"DIRI_ISTA_FK","1","ISTANZA","ISTANZA"
"MODU_PROG_FK","1","PROGETTO","PROGETTO"
"MODU_PK","1","MODULO","NULL"
"DIRI_MODU_FK","1","MODULO","MODULO"
"DISA_PK","1","RUOLO","NULL"
"DISA_PK","2","MODULO","NULL"
"DISA_PK","3","WINDOW","NULL"
"UTEN_PK","1","UTENTE","NULL"
"UTGR_PK","1","UTENTE","NULL"
"UTGR_PK","2","GRUPPO","NULL"
"UTGR_UTEN_FK","1","UTENTE","UTENTE"
"UTGR_GRUP_FK","1","GRUPPO","UTENTE"
"STTE_PK","1","STATO_TERRITORIO","NULL"
"COMU_PK","1","PROVINCIA_STATO","NULL"
"COMU_PK","2","COMUNE","NULL"
"COMU_STTE_FK","1","PROVINCIA_STATO","STATO_TERRITORIO"
"RUOL_MODU_FK","1","MODULO","MODULO"
"RUOL_PROG_FK","1","PROGETTO","PROGETTO"
"DIRI_RUOL_FR","1","RUOLO","RUOLO"
"LING_PK","1","LINGUA","NULL"
"GRLI_PK","1","LINGUA","NULL"
"GRLI_PK","2","LINGUA_AL","NULL"
"GRLI_LING_FK","1","LINGUA","LINGUA"
"GRLI_LING_AL_FK","1","LINGUA_AL","LINGUA"
"GRLI_LING_FR","1","LINGUA","LINGUA"
"GRLI_LING_AL_FR","1","LINGUA_AL","LINGUA"
"TICR_PK","1","TIPO_CREDENZIALE","NULL"
"LISI_PK","1","LIVELLO","NULL"
"CRLI_PK","1","LIVELLO","NULL"
"CRLI_PK","2","TIPO_CREDENZIALE","NULL"
"MODU_SERV_FK","1","MODULO","MODULO"
"CRLI_LISI_FK","1","LIVELLO","LIVELLO"
"CRED_PK","1","ID_CREDENZIALE","NULL"
"SERV_PK","1","ID_SERVIZIO","NULL"
"ISTA_SERV_FK","1","ISTANZA","ISTANZA"
"LISI_SERV_FK","1","LIVELLO","LIVELLO"
"SERV_AK","1","MODULO","NULL"
"SERV_AK","2","ISTANZA","NULL"
"CRED_CHIAVE_AK","1","CHIAVE_CREDENZIALE","NULL"
