"NOME","TIPO_ERRORE","ERRORE","PRECISAZIONE"
"PROG_PK","PK","A06086","NULL"
"ISTA_PK","PK","A06046","NULL"
"ISTA_PROG_FK","FK","A06080","NULL"
"ISTA_PROG_FK","FR","A06048","NULL"
"ISTA_ENTI_FK","FR","A06048","NULL"
"ISTA_ENTI_FK","FK","A06120","NULL"
"RUOL_PK","PK","A06056","NULL"
"DIRI_PK","PK","A06036","NULL"
"DIRI_UTEN_FK","FK","A06018","NULL"
"DIRI_UTEN_FK","FR","A06038","NULL"
"DIRI_RUOL_FK","FK","A06050","NULL"
"LING_PK","PK","A00002","NULL"
"DIRI_ISTA_FK","FK","A06040","NULL"
"DIRI_ISTA_FK","FR","A06032","NULL"
"MODU_PROG_FK","FR","A06502","NULL"
"MODU_PROG_FK","FK","A06080","NULL"
"ENTI_PK","PK","A06126","NULL"
"MODU_PK","PK","A06500","NULL"
"DIRI_MODU_FK","FR","A06032","NULL"
"DIRI_MODU_CC","CC","A06037","NULL"
"DISA_PK","PK","A00002","NULL"
"FK","FK","A02291","NULL"
"UTEN_DIRI_FK","FR","A06038","NULL"
"UTEN_PK","PK","A06026","NULL"
"UTGR_PK","PK","A00003","NULL"
"UTGR_UTEN_FK","FK","A06020","NULL"
"UTGR_UTEN_FK","FR","A06032","NULL"
"UTGR_GRUP_FK","FK","A06019","NULL"
"CAAC_DIAC_FK","FK","A00001","NULL"
"UTGR_GRUP_FK","FR","A06032","NULL"
"STTE_EI","EI","A06069","NULL"
"STTE_PK","PK","A00002","NULL"
"COMU_PK","PK","A00002","NULL"
"COMU_STTE_PK","FK","A00001","NULL"
"COMU_STTE_PK","FR","A06079","NULL"
"COMU_STTE_FK","FK","A08500","NULL"
"ISTA_PROG_COD_FK","FK","A06080","NULL"
"DIRI_MODU_FR","FR","A00021","NULL"
"ISTA_PROG_COD_FK","FR","A06048","NULL"
"RUOL_MODU_FK","FK","A06501","NULL"
"RUOL_MODU_FK","FR","A06109","NULL"
"RUOL_PROG_FK","FK","A06080","NULL"
"RUOL_PROG_FK","FR","A06082","NULL"
"DIRI_RUOL_FR","FR","A06032","NULL"
"GRLI_PK","PK","A00002","NULL"
"GRLI_LING_FK","FK","A00001","NULL"
"LISI_PK","PK","A00002","NULL"
"GRLI_LING_AL_FK","FK","A00001","NULL"
"TICR_PK","PK","A00002","NULL"
"CRLI_PK","PK","A00002","NULL"
"ISTA_SERV_FK","FR","A06051","NULL"
"SERV_PK","PK","A00002","NULL"
"STTE_EU","EU","A06070","NULL"
"PK","PK","A00002","NULL"
"CRLI_LISI_FK","FK","A00001","NULL"
"CRLI_LISI_FK","FR","A06031","NULL"
"FR","FR","A02292","NULL"
"CRED_PK","PK","A00002","NULL"
"ISTA_SERV_FK","FK","A06040","NULL"
"SERV_AK","UK","A00003","NULL"
"CRED_CHIAVE_AK","UK","A00003","NULL"
"LISI_SERV_FK","FK","A00001","NULL"
"LISI_SERV_FK","FR","A06051","NULL"
"CC","CC","A02290","NULL"
"JM","JM","J00001","NULL"
"DIRI_MODU_FK","FK","A06501","NULL"
"UTEN_NOMINATIVO_AK","UK","A06033","NULL"
