"ERRORE","DESCRIZIONE","TIPO","KEY"
"A08504","Sovrapposizione di periodi","NULL","NULL"
"A08505","Data inizio validita' > data fine","NULL","NULL"
"A06109","Esistono ruoli abilitati","NULL","NULL"
"A06110","Riferimento $table:di non presente $ref_table:in","NULL","NULL"
"A06112","Esistono riferimenti $table:in alla registrazione $ref_table:di$.","NULL","NULL"
"A06120","Ente non previsto","NULL","NULL"
"A06126","Ente gia' utilizzato","O","NULL"
"A06127","Sono presenti Enti duplicati","NULL","NULL"
"A06128","Esistono Enti collegati a","NULL","NULL"
"A07058","Esistono competenze collegate","NULL","NULL"
"A08000","Modulo assente","NULL","NULL"
"A08001","Inizio Caricamento del Modulo :","NULL","NULL"
"A08002","Eseguito Caricamento del Modulo :","NULL","NULL"
"A08003","Caricamento errato :","NULL","NULL"
"A08004","Inizio Cancellazione del Modulo :","NULL","NULL"
"A08005","Eseguita Cancellazione del Modulo :","NULL","NULL"
"A08006","Cancellazione errata :","NULL","NULL"
"A08500","Comune non codificato","NULL","NULL"
"A08501","Dati Anagrafici incompleti","NULL","NULL"
"A08502","Lista Valori solo con valore iniziale","NULL","NULL"
"A08503","Tipo anagrafico errato","NULL","NULL"
"A06017","Sono presenti gruppi di lavoro duplicati","NULL","NULL"
"A06020","Utente non definito","NULL","NULL"
"A06021","Impossibile inserire password uguale alla precedente","NULL","NULL"
"A06022","Password errata !!!","NULL","NULL"
"A06023","Password scaduta","NULL","NULL"
"A06024","Raggiunto il numero massimo di tentativi massimo :","NULL","NULL"
"A06025","Password in scadenza, scadenza il","NULL","NULL"
"A06026","Utente gia' codificato","NULL","NULL"
"A06027","Sono presenti utenti duplicati","NULL","NULL"
"A06028","Esistono Utenti collegati","NULL","NULL"
"A06030","Utente non abilitato","NULL","NULL"
"A06036","Diritto di accesso gia' gestito","NULL","NULL"
"A06038","Esistono abilitazioni collegate","NULL","NULL"
"A06040","Istanza non presente","NULL","NULL"
"A06046","Istanza gia' codificata","NULL","NULL"
"A06047","Sono presenti istanze duplicate","NULL","NULL"
"A06048","Esistono Istanze collegate","NULL","NULL"
"A06050","Ruolo non codificato oppure non abilitato per progetto o modulo oppure non piu' in uso.","NULL","NULL"
"A06056","Ruolo gia' gestito","NULL","NULL"
"A06057","Sono presenti Ruoli duplicati","NULL","NULL"
"A06061","Progetto non congruente","NULL","NULL"
"A06072","Sessione disabilitata - Terminale :","NULL","NULL"
"A06078","Esistono statistiche di accesso collegate","NULL","NULL"
"A06080","Progetto non presente","NULL","NULL"
"A06086","Progetto gia' gestito","NULL","NULL"
"A06090","Voce di Menu non presente o non disponibile","NULL","NULL"
"A06094","Esistono personalizzazioni duplicate","NULL","NULL"
"A06010","Gruppo di lavoro non gestito","NULL","NULL"
"A06016","Gruppo di lavoro gia' gestito","NULL","NULL"
"A00001","Registrazione non presente","NULL","NULL"
"A00002","Registrazione gia' presente","NULL","NULL"
"A00003","Valore duplicato in tabella","NULL","NULL"
"A00020","Inserimento non consentito","NULL","NULL"
"A00021","Cancellazione non consentita","NULL","NULL"
"A00022","Variazione non consentita","NULL","NULL"
"A00023","L'informazione presente nel blocco di testata non e' valida","NULL","NULL"
"A00029","Valori errati per la ricerca","NULL","NULL"
"A08506","Cittadinanza non codificata","NULL","NULL"
"A08507","Gruppo linguistico non codificato","NULL","NULL"
"A08508","Data Nascita errata","NULL","NULL"
"A08509","Codice fiscale non corrisponde ai dati anagrafici","NULL","NULL"
"A08510","Assegnazione sequenza fallita","NULL","NULL"
"A08511","Esiste Anagrafica collegata","NULL","NULL"
"A08512","Gia' presente individuo con uguale codice fiscale","NULL","NULL"
"A08513","Cittadinanza gia' presente","NULL","NULL"
"A08514","Esistono piu` comuni con questa denominazione, usare la LIST of VALUE.","NULL","NULL"
"A08516","Anagrafica non eliminabile","NULL","NULL"
"A08517","Codice non valido","NULL","NULL"
"A08518","Soggetti con uguale denominazione sono gia' presenti - ListValues -","NULL","NULL"
"A06500","Modulo duplicato","NULL","NULL"
"A06501","Modulo Assente","NULL","NULL"
"A06502","Esistono moduli","NULL","NULL"
"A06037","Progetto del modulo non congruente a progetto dell'istanza","NULL","NULL"
"A01000","Modifiche in sospeso","NULL","NULL"
"A06029","Esistono Gruppi collegati","NULL","NULL"
"A06069","Fallito inserimento in tabella COMUNI","NULL","NULL"
"A06079","Esistono Comuni collegati","NULL","NULL"
"A06081","Esistono Progetti collegati","NULL","NULL"
"A06031","Esistono Credenziali collegate","NULL","NULL"
"A06049","Esistono Livelli di Sicurezza collegati","NULL","NULL"
"A06070","Fallito aggiornamento tabella COMUNI","NULL","NULL"
"A06019","Gruppo non definito","NULL","NULL"
"A06018","Utente o Gruppo non definito","NULL","NULL"
"A06032","Esistono Utenti o Gruppi collegati","NULL","NULL"
"A02290","Registrazione $table:in con informazioni incongruenti.","E","NULL"
"A02291","Riferimento $$ $table:di non presente $ref_table:in$.","E","NULL"
"A02292","Esistono riferimenti $table:in alla registrazione $$ $ref_table:di$.","E","NULL"
"J00001","Invio Mail Fallito","NULL","NULL"
"A06082","Esistono Ruoli collegati","NULL","NULL"
"A06033","Nominativo duplicato","NULL","NULL"
